Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,fear,0.9599
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,surprise,0.918
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,anticipation,0.319
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,trust,0.2624
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,anger,0.0722
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,disgust,0.0162
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,joy,0.0041
Pair 1,Alex,I just got a positive result on my iFOBT test. I'm really scared.,sadness,0.0038
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",fear,0.9793
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",surprise,0.1754
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",trust,0.086
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",anger,0.0328
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",anticipation,0.0253
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",sadness,0.0234
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",disgust,0.0192
Pair 1,Affecto,"I understand, Alex. It’s normal to feel scared, but a positive iFOBT result doesn’t always mean something serious. There are many possible causes, most of which are treatable. You’re already doing the right thing by addressing it early. Let’s take it step by step—you’re not alone in this.",joy,0.0037
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,fear,0.966
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,anticipation,0.5978
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,surprise,0.5103
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,trust,0.1671
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,anger,0.0239
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,disgust,0.0027
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,sadness,0.0025
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,joy,0.0002
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",fear,0.4765
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",surprise,0.2967
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",trust,0.2599
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",anticipation,0.0338
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",anger,0.0056
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",disgust,0.0047
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",sadness,0.0029
Pair 2,Affecto,"It is okay to feel anxious, Alex. False positives can happen, but that’s why the next step, like the colonoscopy, is so important—it will give us more clarity. You’re in good hands, and this will help us get the answers we need.",joy,0.0008
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,anticipation,0.445
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,surprise,0.3933
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,fear,0.0094
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,disgust,0.0076
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,anger,0.001
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,sadness,0.0009
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,trust,0.0009
Pair 3,Alex,Alex: What should I expect during a colonoscopy?,joy,0.0001
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",surprise,0.9294
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",anticipation,0.9053
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",trust,0.0294
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",joy,0.0077
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",fear,0.0038
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",anger,0.0021
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",sadness,0.0012
Pair 3,Affecto,"It is understandable to feel curious, Alex. During a colonoscopy, you’ll likely be sedated, so you won’t feel much, if anything, during the procedure. It’s quick—usually less than 30 minutes—and the care team will ensure you’re comfortable throughout. Afterward, you may feel a little bloated, but most people recover quickly.",disgust,0.0003
Pair 4,Alex,Alex: Will it hurt?,surprise,0.4984
Pair 4,Alex,Alex: Will it hurt?,fear,0.2295
Pair 4,Alex,Alex: Will it hurt?,anticipation,0.2179
Pair 4,Alex,Alex: Will it hurt?,sadness,0.0372
Pair 4,Alex,Alex: Will it hurt?,anger,0.0314
Pair 4,Alex,Alex: Will it hurt?,trust,0.0291
Pair 4,Alex,Alex: Will it hurt?,disgust,0.0055
Pair 4,Alex,Alex: Will it hurt?,joy,0.0001
Pair 4,Affecto,"It is completely normal to wonder about that, Alex. The good news is that most people don’t feel pain during a colonoscopy because you’ll be sedated. You might feel a little discomfort afterward, like mild bloating, but nothing too intense. Your care team will make sure you’re comfortable throughout.",surprise,0.4883
