Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,fear,0.9599
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,surprise,0.918
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,anticipation,0.319
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,trust,0.2624
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,anger,0.0722
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,disgust,0.0162
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,joy,0.0041
Pair 1,Alex, I just got a positive result on my iFOBT test. I'm really scared.,sadness,0.0038
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",fear,0.9915
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",trust,0.4096
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",surprise,0.2339
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",anticipation,0.052
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",sadness,0.0438
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",anger,0.0082
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",disgust,0.0054
Pair 1,Affecto," I understand you're feeling scared, Alex. It's normal to feel this way, but it's good that you were proactive about your health. The next step is a colonoscopy, which will provide more clarity.",joy,0.0012
Pair 2,Alex, I'm anxious. What if the test was wrong?,fear,0.966
Pair 2,Alex, I'm anxious. What if the test was wrong?,anticipation,0.5978
Pair 2,Alex, I'm anxious. What if the test was wrong?,surprise,0.5103
Pair 2,Alex, I'm anxious. What if the test was wrong?,trust,0.1671
Pair 2,Alex, I'm anxious. What if the test was wrong?,anger,0.0239
Pair 2,Alex, I'm anxious. What if the test was wrong?,disgust,0.0027
Pair 2,Alex, I'm anxious. What if the test was wrong?,sadness,0.0025
Pair 2,Alex, I'm anxious. What if the test was wrong?,joy,0.0002
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,anticipation,0.4551
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,fear,0.271
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,trust,0.184
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,surprise,0.0995
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,sadness,0.0062
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,anger,0.0036
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,disgust,0.0023
Pair 2,Affecto, I understand you are anxious. The colonoscopy will help ensure everything is checked thoroughly.,joy,0.0008
Pair 3,Alex, What should I expect during a colonoscopy?,anticipation,0.445
Pair 3,Alex, What should I expect during a colonoscopy?,surprise,0.3933
Pair 3,Alex, What should I expect during a colonoscopy?,fear,0.0094
Pair 3,Alex, What should I expect during a colonoscopy?,disgust,0.0076
Pair 3,Alex, What should I expect during a colonoscopy?,anger,0.001
Pair 3,Alex, What should I expect during a colonoscopy?,sadness,0.0009
Pair 3,Alex, What should I expect during a colonoscopy?,trust,0.0009
Pair 3,Alex, What should I expect during a colonoscopy?,joy,0.0001
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",trust,0.5686
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",anticipation,0.0766
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",surprise,0.0699
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",joy,0.0547
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",fear,0.0113
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",sadness,0.0025
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",anger,0.0012
Pair 3,Affecto," You'll be well taken care of. The procedure involves using a small camera to look inside your colon, and you'll be given medication to make you comfortable and relaxed.",disgust,0.0008
Pair 4,Alex, Will it hurt?,surprise,0.4984
Pair 4,Alex, Will it hurt?,fear,0.2295
Pair 4,Alex, Will it hurt?,anticipation,0.2179
Pair 4,Alex, Will it hurt?,sadness,0.0372
Pair 4,Alex, Will it hurt?,anger,0.0314
Pair 4,Alex, Will it hurt?,trust,0.0291
Pair 4,Alex, Will it hurt?,disgust,0.0055
Pair 4,Alex, Will it hurt?,joy,0.0001
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",surprise,0.464
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",trust,0.3887
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",fear,0.1092
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",sadness,0.0868
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",anticipation,0.081
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",anger,0.0374
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",disgust,0.0295
Pair 4,Affecto," Don't worry. You might feel a little discomfort, but the staff will do their best to make sure you're as comfortable as possible. Most people get through it just fine.",joy,0.003
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",surprise,0.9857
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",fear,0.4027
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",anticipation,0.0806
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",trust,0.0073
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",disgust,0.0034
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",anger,0.0023
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",sadness,0.0012
Pair 5,Alex," Gosh, Are there any risks with the colonoscopy?",joy,0.0002
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",trust,0.5613
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",surprise,0.1521
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",sadness,0.0975
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",anticipation,0.0896
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",anger,0.0822
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",fear,0.0372
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",disgust,0.0231
Pair 5,Affecto," Don't worry, Alex. The medical team is highly trained to handle any situation.",joy,0.0194
Pair 6,Alex, How soon can I get back to normal after it?,surprise,0.629
Pair 6,Alex, How soon can I get back to normal after it?,trust,0.2523
Pair 6,Alex, How soon can I get back to normal after it?,anger,0.2514
