Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,surprise,0.7876
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,anticipation,0.2048
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,trust,0.1326
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,joy,0.1266
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,fear,0.0112
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,anger,0.0086
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,disgust,0.0012
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,sadness,0.0003
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",surprise,0.6862
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",fear,0.219
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",trust,0.1624
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",anticipation,0.0986
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",sadness,0.0775
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",disgust,0.0639
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",anger,0.0271
Pair 1,Affecto,"I understand how unsettling this must be for you, Alex. A positive FOBT result means that some blood was found in your stool, but this doesn’t automatically mean something serious. It could be caused by several things, many of which are treatable. The next step, a colonoscopy, will help us figure it out. You’re taking an important step toward understanding what’s happening, and that’s a good thing.",joy,0.0034
Pair 2,Alex,Does this mean I have cancer?,surprise,0.8446
Pair 2,Alex,Does this mean I have cancer?,fear,0.0113
