Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,surprise,0.7876
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,anticipation,0.2048
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,trust,0.1326
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,joy,0.1266
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,fear,0.0112
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,anger,0.0086
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,disgust,0.0012
Pair 1,Alex,﻿I just got a positive result from my FOBT test. What does that mean?,sadness,0.0003
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",surprise,0.1264
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",trust,0.0907
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",fear,0.0301
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",anticipation,0.0250
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",anger,0.0089
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",sadness,0.0058
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",disgust,0.0053
Pair 1,Affecto,"I understand how concerning this must feel, Alex. A positive FOBT result means that a small amount of blood was found in your stool. This can be caused by various things, many of which aren’t serious. The important thing to remember is that this is just the first step in understanding what’s going on, and it’s great that you’re following up on it.",joy,0.0007
Pair 2,Alex,Does this mean I have cancer?,surprise,0.8446
Pair 2,Alex,Does this mean I have cancer?,fear,0.0113
Pair 2,Alex,Does this mean I have cancer?,anticipation,0.0022
Pair 2,Alex,Does this mean I have cancer?,anger,0.0003
Pair 2,Alex,Does this mean I have cancer?,disgust,0.0002
Pair 2,Alex,Does this mean I have cancer?,trust,0.0001
