Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,fear,0.9599
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,surprise,0.918
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,anticipation,0.319
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,trust,0.2624
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,anger,0.0722
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,disgust,0.0162
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,joy,0.0041
Pair 1,Alex,Alex: I just got a positive result on my iFOBT test. I'm really scared.,sadness,0.0038
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",surprise,0.0458
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",anticipation,0.005
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",joy,0.0042
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",trust,0.0041
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",fear,0.0022
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",disgust,0.0014
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",sadness,0.0006
Pair 1,Cognito,"CognitoAI: A positive result on an iFOBT test indicates the presence of blood in the stool, which can be a sign of colorectal cancer or other conditions such as hemorrhoids or ulcers. It is important to follow up with a diagnostic procedure like a colonoscopy to determine the exact cause.",anger,0.0006
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,fear,0.966
Pair 2,Alex,Alex: I'm anxious. What if the test was wrong?,anticipation,0.5978
