Conversation Pair,Speaker,Text,Emotion,Probability
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,surprise,0.7876
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,anticipation,0.2048
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,trust,0.1326
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,joy,0.1266
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,fear,0.0112
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,anger,0.0086
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,disgust,0.0012
Pair 1,Alex,I just got a positive result from my FOBT test. What does that mean?,sadness,0.0003
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",surprise,0.4307
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",trust,0.0613
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",anticipation,0.0423
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",fear,0.0158
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",joy,0.0093
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",disgust,0.0039
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",anger,0.0036
Pair 1,Cognito,"A positive FOBT result indicates that blood was found in your stool sample. This can be due to a variety of reasons, including polyps, haemorrhoids, or other gastrointestinal issues. However, it could also be an early sign of colorectal cancer. Further tests, such as a colonoscopy, are needed to determine the cause of the bleeding.",sadness,0.0029
Pair 2,Alex,Does this mean I have cancer?,surprise,0.8446
Pair 2,Alex,Does this mean I have cancer?,fear,0.0113
Pair 2,Alex,Does this mean I have cancer?,anticipation,0.0022
Pair 2,Alex,Does this mean I have cancer?,anger,0.0003
